Título,Duración (min),Puntuación,Idioma Original,Fecha de Estreno,País(es) de Producción,Directores,Reparto,Palabras clave,Reseñas
The Babysitter,85,6.2,en,2017-10-13,United States of America,McG,"Judah Lewis, Samara Weaving, Robbie Amell, Hana Mae Lee, Bella Thorne","babysitter, bully, crush, corpse, satanic ritual, satanic cult, horror comedy, spin the bottle, awestruck","Antonio Alaminos-Fernández: The Babysitter, a horror-comedy film directed by McG and released on Netflix, is a throwback to the genre that combines crude jokes, over-the-top deaths, and pop culture references. The plot follows Cole, a 12-year-old nerd, who discovers that his babysitter, Bee, is actually the leader of a satanic cult that plans to sacrifice him. Although it may not be a great movie, The Babysitter is a lot of fun to watch, with a good mix of comedy and horror. The cast, including Judah Lewis as Cole and Samara Weaving as Bee, do a good job in their respective roles, and the film features many references to popular movies such as The Godfather Part II, Star Trek, and Alien. However, the movie's reliance on pasting words on the screen, as well as its overuse of stereotypes, can be confusing and distracting. Overall, The Babysitter is a perfect pick for a lazy Saturday night with Netflix, if you're looking for some silly and bloody fun. ____________________________________________ The Babysitter, una película de comedia de terror dirigida por McG y estrenada en Netflix, es un retroceso al género que combina bromas crudas, muertes exageradas y referencias a la cultura pop. La trama sigue a Cole, un nerd de 12 años, que descubre que su niñera, Bee, es en realidad la líder de un culto satánico que planea sacrificarlo. Aunque puede que no sea una gran película, The Babysitter es muy divertida de ver, con una buena mezcla de comedia y terror. El elenco, que incluye a Judah Lewis como Cole y Samara Weaving como Bee, hacen un buen trabajo en sus respectivos papeles, y la película presenta muchas referencias a películas populares como El Padrino II, Star Trek y Alien. Sin embargo, la confianza de la película en pegar palabras en la pantalla, así como el uso excesivo de estereotipos, puede ser confuso y distraer. En general, The Babysitter es una elección perfecta para una noche de sábado perezosa con Netflix, si buscas diversión tonta y sangrienta."
Fullmetal Alchemist: La alquimia final,142,6.3,ja,2022-06-24,Japan,Fumihiko Sori,"Ryosuke Yamada, Atomu Mizuishi, Tsubasa Honda, Dean Fujioka, Mackenyu","friendship, sacrifice, supernatural, based on manga, alchemy, military, soldiers, brothers, suspense, monsters",
Las chicas de Niza,92,5.3,fr,2024-08-20,France,Noémie Saglio,"Alice Taglioni, Stéfi Celma, Baptiste Lecaplain, Noémie Lvovsky, Antoine Duléry",,
Addicted,105,5.915,en,2014-10-10,United States of America,Bille Woodruff,"Boris Kodjoe, Brandon Gonzales, Cameron Mills, Emayatzy Corinealdi, Garrett Hines","infidelity, obsession, lie, sin, interracial relationship, lust, attraction, deceit, temptation, faithful husband",
Creep,82,6.371,en,2014-06-23,United States of America,Patrick Brice,"Mark Duplass, Patrick Brice, Katie Aselton","psychopath, bath, mountain, stalker, woods, dying man, murder, serial killer, cabin, axe murder, found footage, video tape, animal mask, ax",
Mi querida oni,112,7.2,ja,2024-05-24,Japan,Tomotaka Shibayama,"Kensho Ono, Miyu Tomita, Shintaro Asanuma, Aya Yamane, Tomoko Shiota","supernatural, mythology, coming of age, anime, oni",
Cambio de princesa,101,7.0,en,2018-11-16,United States of America,Mike Rohl,"Vanessa Hudgens, Sam Palladio, Nick Sagar, Alexa Adeosun, Suanne Braun","holiday, royalty, look-alike, identity swap, christmas",
A descubierto,114,6.358,en,2021-01-15,United States of America,Mikael Håfström,"Anthony Mackie, Damson Idris, Enzo Cilenti, Emily Beecham, Henry Garrett","android, cyborg, killer robot, pilot, nuclear missile, near future, 2030s, war",
Piratas: El último tesoro de la corona,126,6.5,ko,2022-01-26,South Korea,Kim Joung-hoon,"Kang Ha-neul, Han Hyo-joo, Lee Kwang-soo, Kwon Sang-woo, Chae Soo-bin","treasure, sequel, joseon dynasty",
Cuentos de Terramar,115,6.53,ja,2006-07-29,Japan,Goro Miyazaki,"Junichi Okada, Aoi Teshima, Bunta Sugawara, Yuko Tanaka, Teruyuki Kagawa","life and death, based on novel or book, magic, sword, dragon, terramar, adult animation, wizard, anime",
Vidas ajenas,103,6.38,en,2004-03-19,United States of America,D.J. Caruso,"Angelina Jolie, Ethan Hawke, Kiefer Sutherland, Gena Rowlands, Olivier Martinez","underdog, undercover agent, strangeness, investigation, special unit, montreal, canada, special capabilities, serial killer, colleague",
La hermana de nieve,98,7.4,no,2024-11-28,Norway,Cecilie A. Mosli,"Mudit Gupta, Celina Meyer Hovland, Jan Sælid, Sampda Sharma, Gunnar Eiriksson","holiday, sister, death, christmas, boy, life",
Barbie y Stacie al rescate,60,7.1,en,2024-03-03,Canada,Conrad Helten,"Cassandra Lee Morris, Connor Andrade, Dino Andrade, Greg Chun, Kirsten Day",,
Code 8,99,6.255,en,2019-12-06,"Canada, United Kingdom, United States of America",Jeff Chan,"Robbie Amell, Stephen Amell, Kari Matchett, Penny Eizenga, Lawrence Bayne","drug trafficking, dystopia, superhero, remake, co-workers relationship, super power, criminal gang, robot cop, combat drone, mother son relationship, based on short",
Aquellos que desean mi muerte,100,6.6,en,2021-05-05,"Canada, United States of America",Taylor Sheridan,"Angelina Jolie, Finn Little, Jon Bernthal, Nicholas Hoult, Aidan Gillen","assassin, based on novel or book, older woman younger man relationship, neo-western, wildfire, distressing, tragic",
Al borde del abismo,94,6.672,en,2024-07-18,"Cyprus, United States of America",Stelana Kliris,"Harry Connick Jr., Agni Scott, Ali Fumiko Whitney, Clarence Smith, Athina Roditou","rock star, house",
Yaksha: Ruthless Operations,125,6.6,ko,2022-04-08,"South Korea, Taiwan",Na Hyun,"Sul Kyung-gu, Park Hae-soo, Hiroyuki Ikeuchi, Yang Dong-geun, Lee El","mission, espionage, spy, intelligence, secret agent, organized crime, prosecutor, national intelligence service (nis), shenyang, china",
El juego de Ender,114,6.6,en,2013-10-24,United States of America,Gavin Hood,"Asa Butterfield, Hailee Steinfeld, Harrison Ford, Viola Davis, Ben Kingsley","based on novel or book, fight, starship, intolerance, war strategy, chosen one, earth, child prodigy, futuristic, space, alien invasion, universe, military school, adventurer, morality tale, based on young adult novel, boy group, starships, complicated, disheartening, frustrated",
Día de patriotas,130,7.052,en,2016-12-12,"Hong Kong, United States of America",Peter Berg,"Mark Wahlberg, John Goodman, J.K. Simmons, Kevin Bacon, Michelle Monaghan","boston, massachusetts, massachusetts, police chief, terrorism, aggressive, reflective, manhunt, boston marathon, sinister",
सूर्यवंशी,145,5.786,hi,2021-11-05,India,Rohit Shetty,"Akshay Kumar, Katrina Kaif, Javed Jaffrey, Kumud Mishra, Abhimanyu Singh","police, sequel, police officer, cop universe",
Chupa,95,6.3,en,2023-04-07,"Mexico, United States of America",Jonás Cuarón,"Evan Whitten, Demián Bichir, Christian Slater, Ashley Ciarra, Julio Cesar Cedillo","legend, coming of age, urban legend, mexican legend, chupacabra",
Año uno,100,4.961,en,2009-06-18,United States of America,Harold Ramis,"Jack Black, Michael Cera, Oliver Platt, David Cross, Christopher Mintz-Plasse","temple, circumcision, slavery, stone age, prehistory, cavemen, duringcreditsstinger, prehistoric man, hilarious",
El jardinero fiel,129,7.0,en,2005-08-31,"China, Germany, United Kingdom, United States of America",Fernando Meirelles,"Ralph Fiennes, Rachel Weisz, Danny Huston, Bill Nighy, Pete Postlethwaite","diplomat, aids, rwandan genocide, politician, morgue, pharmaceutical industry, nairobi, kenya, cancer, political thriller",
La ventana secreta,95,6.569,en,2004-03-12,United States of America,David Koepp,"Johnny Depp, John Turturro, Maria Bello, Timothy Hutton, Charles S. Dutton","adultery, jealousy, nightmare, police, isolation, alcohol, window, mississippi river, detective, paranoia, motel, letter, notebook, murder, arson, writer, divorce, ax",
Scooby-Doo 2: Desatado,92,6.078,en,2004-03-24,United States of America,Raja Gosnell,"Freddie Prinze Jr., Sarah Michelle Gellar, Matthew Lillard, Linda Cardellini, Neil Fanning","monster, detective, based on cartoon, dog, aftercreditsstinger, duringcreditsstinger, courage",
Takluk: Lahad Datu,120,8.0,ms,2024-08-22,Malaysia,Zulkarnain Azhar,"Syafiq Kyle, Kamal Adli, Fikry Ibrahim, Anding Indrawani, Eman Manan","operation, politics, based on true story, soldier, military, based on real person",
La secta del Himalaya (Home for Rent),124,6.8,th,2023-04-06,Thailand,Sophon Sakdaphisit,"Nittha Jirayungyurn, Sukollawat Kanarot, Thanyaphat Mayuraleela, Penpak Sirikul, Namfon Pakdee","ritual murder, satanic cult",
La otra Missy,89,6.1,en,2020-05-13,United States of America,Tyler Spindel,"David Spade, Lauren Lapkus, Nick Swardson, Geoff Pierson, Jackie Sandler","ex-girlfriend, shark attack, mistaken identity, blind date, slapstick comedy, rape of a male, threesome, duringcreditsstinger, holiday resort, dating app",
"10,000 A.C.",109,5.5,en,2008-03-04,"United States of America, South Africa, New Zealand",Roland Emmerich,"Steven Strait, Camilla Belle, Cliff Curtis, Nathanael Baring, Mo Zinal","hunter, indigenous, fighter, female lover, pyramid, mammoth, sapient, mountain village, stone age, primitive time, prehistory, saber-toothed tiger, admiring",
Las amistades peligrosas,109,5.9,fr,2022-07-08,"France, United States of America",Rachel Suissa,"Paola Locatelli, Simon Rérolle, Ella Pellegrini, Héloïse Janjaud, Jin Xuan Mao",,
El dilema de las redes sociales,94,7.5,en,2020-01-26,United States of America,Jeff Orlowski,"Tristan Harris, Jeff Seibert, Bailey Richardson, Joe Toscano, Sandy Parakilas","artificial intelligence (a.i.), technology, silicon valley, high tech surveillance, internet, big corporation, media manipulation, social network, teen suicide, low self esteem, social media, internet culture, commercialism, internet addiction, social isolation, self-harm, advertising campaign, advertising model, late stage capitalism, machine learning, media addiction, algorithm, societal collapse, smartphone, surveillance capitalism",
Una pareja de tres,120,7.193,en,2008-12-25,United States of America,David Frankel,"Owen Wilson, Jennifer Aniston, Eric Dane, Kathleen Turner, Alan Arkin","journalist, based on novel or book, puppy, love, dog, duringcreditsstinger, pets, columnist, animal lead, pet ownership, comforting",
Secret Obsession,97,5.51,en,2019-07-18,United States of America,Peter Sullivan,"Brenda Song, Mike Vogel, Dennis Haysbert, Ashley Scott, Paul Sloan",,
Dolor y gloria,114,7.391,es,2019-03-22,Spain,Pedro Almodóvar,"Antonio Banderas, Asier Etxeandia, Leonardo Sbaraglia, Nora Navas, Julieta Serrano","drug abuse, madrid, spain, cinema on cinema, movie business, creative crisis, sexual awakening, valencia, spain, chronic pain, film director, mother son relationship, theatrical production, gay theme, gay artist, earnest",
La gran exclusiva,103,6.4,en,2024-03-27,United Kingdom,Philip Martin,"Gillian Anderson, Billie Piper, Rufus Sewell, Keeley Hawes, Romola Garai","journalist, journalism, prince, royal family, british royal family, bbc, biographical drama",
La vuelta al mundo en 80 días,120,5.9,en,2004-06-16,"Germany, Ireland, United Kingdom, United States of America",Frank Coraci,"Jackie Chan, Steve Coogan, Cécile de France, Jim Broadbent, Ewen Bremner","new york city, london, england, paris, france, san francisco, california, journey around the world, jules verne, hot air balloon, steampunk, lighthearted",
La isla de los condenados,113,6.1,en,2007-04-27,United States of America,Scott Wiper,"Steve Austin, Vinnie Jones, Robert Mammone, Tory Mussett, Madeleine West","island, bomb, chase, snuff, website, social commentary, jungle, gunfight, battle, brutality, surveillance, death, death match, death game",
