title,title_comment,comment
Young Royals,Awesome,This show is absolutely great. Not too over the top but also very entertaining. The cast does a good job and the look of the show is quite nice. Let's just hope Netflix doesn't cancel it.
Young Royals,A good drama,The plot was entertaining and good. It was indeed a good drama instead of having LGBT and I'm not hating any part of that. Ending was fine too. Enjoyed it. Go for it .
Young Royals,Why did they bother with season 2,"I LOVED season 1. It was one of my top tv series and I recommended to everyone, the characters, the plot, the cinematography, everything! So amazing. They finished season 1 with such a good ending and it had the potential to have a second season but still wasn't distasteful if they didn't decide to do this. Which they did which I obviously was not mad bad as I loved season 1.

But season 2. Honestly why?????

It was so so so slow paced and every plot I just didn't care about like I did in season 1. The characters were just not the same, the relationships between them did not feel familiar like in season 1 and the main leads didn't seem like they had the same chemistry in my opinion. And the ending? What?

My advice is watch season 1 not 2 as season 1 needs to be watched but season 2 will ruin everything."
Young Royals,Amazing story. Would love to see more!,Comentario no disponible
Young Royals,Incredible,I wholeheartedly recommend it! Is a series that faces many real life problems.
Young Royals,Brilliant and touching!,"I found the series a day before the release date and decided to give it a chance the next day. Definitely the right decision. The plot caught me immediately, as did the characters and their stories. I especially liked the authenticity of Wilhelm; besides his role as a prince, he is also just a normal teenager with problems and struggles.

I really hope there will be a second season. For me personally, the series is one of the best Netflix series ever. Moreover, I hope that it will meet with more approval here in Germany. I would recommend the series especially for people who like Elite or Gossip Girl."
Young Royals,Worth a watch,"All the classic ingredients, but still authentic and really accomplished. I felt like I had watched six episodes when I got to the third because something happens all the time."
Young Royals,Impresive,Comentario no disponible
Young Royals,The chemistry is fire. I'm left with mushiness in my heart and it's been 4 days already 😭😭😭😭😭😭😭😭😭😭,Yall please watch this show. The chemistry between the the two leads is soo infectious right from the start. The prince wilhelm (edvin) has done such a fantastic job. His eyes convey soo many emotions. The way he looks at simon with pure unadulterated love is just soooooo .....idk....cute. On the other hand theresthis cutie simon (omar) who's such a lil munchkin throughout the show. He has acted soo well. It didnt feel fake at all. The show is like 100000/10 for me.
Young Royals,THIS IS GOOD!,Love the story . And the end I just want a season 2 !
Young Royals,Wilhelm deserves better,Comentario no disponible
Young Royals,Written beautifully,"The story is written beautifully, all the visual was arranged very well; not perfect but it is fit and match to the story. I watch this on original audio means in Swedish so I'm reading English subtitle to understand it and the details in the visual depicted in this series help to me to understand more. Really engaging story line. I cannot wait for season 2! I know this story can offer us the viewer more."
Young Royals,Season 2,"Maybe they didn't want the spark among fans goes away, but season 2 seems like very rushed to be produced and aured. So many flaws & inconsistency in outfits or scenes. The best part of YR were its music, We don't see that in season2. Plot was alll over the place in the new season.every characterhas somethingto say but none were really fully finished their story. New characters were also introduced but didn't sit right with old characters. Actors/actresses r great but plot/ cinematography/ music r not as good as season 1. I'd rather wait more for a better outcome. I'm interested in seeing another season i know it gas lots to say."
Young Royals,Unrealistic and a bit too sensational,"I really expected high quality, especially because of the incredible high rates, even higher than The Crown, which in my opinion is one of the highest quality series on Netflix. This was far beneath that level. It felt unrealistic, sensational and superficial. Unrealistic because of the scenes, a bit over the top, too loud, too extreme, too unrealistic. The roles or characters were skin deep to me and didn't meet my expectations at all. The story line was not interesting enough and rather predictable and apart from the two main characters, there were there were no other characters worked out. A disappointment."
True: Winter Wishes,Perfection,"Ignore the idiot who posted that negative review based on biased opinions of anime rather than the shows actual worth. True is an incredible show for young girls and it's actually pretty entertaining for the parents stuck watching it 300 times a day like myself. Technically, the animations, modeling, textures and shaders used by their art team are TOP NOTCH. Even for today's standards. I'm a 3D Artist myself so trust me when I say that. The voice acting is impeccable and the writing is actually extremely entertaining a safe for children. I'm easily annoyed with today's media shoving socio politics in kids shows but thankfully this one doesn't do that. It simply teaches kids to be positive, creative and kind. This show is absolutely wonderful and my 2 year old daughter watches it EXCLUSIVELY. By choice. I've seen every episode a dozen times each. So I'd say I'm far more qualified than the other reviewer ""Andrea"". Final Verdict: It's a child-safe show reminiscent of Adventure Time. If you need something to sit your daughter in front of, you can't go wrong with this. It's not bad for boys either. The cat is hilarious. I'm a 37 year old father so if I can enjoy it, anyone can."
True: Winter Wishes,Good for young kids,"Not sure how educational it is, but the first episode had a mini lesson in it about calling names and making people feel bad/lose confidence. My 2.5 and 4.5 year olds were both entertained and music wasn't bad. It was weird though. Very weird."
True: Winter Wishes,2 year old loves it,My 2 year old is obsessed with this show. Helps me get stuff done around the house!
True: Winter Wishes,Teaches kids Careful Thinking and Problem Solving,"This show follows a little girl named True in a world of whimsical characters. Each episode presents a fairly silly problem that is easy for kids to understand. After looking into the problem, she will visit the wishing tree. At the tree she recieves three ""wishes"" that all appear as glowing yellow orbs. True recieves three wishes, each with a specific power such as reflecting light, freezing ice, making dots, inflating or being long and stretchy. The wishes at alive and turn into cute little forms to match their power. The wishes are stored in True's backpack until she need them.

She must then use the wishes to creatively solve the problem. To emphasize this, the characters take meditative poses and take deep breaths before working through the issue. Their is a strong focus on calm reasoning and creatively using the tools you have available to address a problem. Even though True can't control what wishes she recieves, she always manages to use their powers to work through the problem."
True: Winter Wishes,Great show,My 5yo daughter and my soon to be 3yo son love the show. Good messages and bartleby is the best!
True: Winter Wishes,"Beautiful show with zero attitude, refreshing!","We absolutely love this show! I often find that these kids shows have a lot of sass back and attitude and the characters are mean to each other. But to see a show that is so conscious of how they speak to each other and how the characters treat each other is very refreshing.There's nothing mean about the show, everything is good at its core,there's no mean kids! Even the so-called ""villains""of the show are just misunderstood and that is a refreshing Viewpoint to see in children shows. It really is sending the message that everyone is worth your time and energy and some people struggle more than others to make the right choice! we love the show and the music is hilarious and wonderful."
True: Winter Wishes,Too chaotic,"I'm surprised at all these great reviews. My 3 year old daughter watches it sometimes but I don't think she understands most of what's going on. There are so many different characters and creatures and the stories are often very hard to follow I think. The cat talks so fast and is all over the place, very annoying. I think my daughter might enjoy it more when she's like 5 or 6."
True: Winter Wishes,Great for kids,"My 4 year old daughter has been watching this since she was 2. The show is VERY well made, has some nice lessons for children is colourful and silly enough that it keeps kids entertained.

I've got no qualms about letting my daughter watch this show. Kudos to the creators."
True: Winter Wishes,The Worst thing to come out of Netflix,"First of, I really hate this show because it's plots serve no purpose, annoying characters, and ripping off animes like Onegai My Melody. Clearly, they're trying to cash in to compete Sanrio. The only good thing about this show is that the Wishes are like Kirby's copy abilities. Final Verdict: STAY AWAY FROM THIS NETFLIX COPYCAT, YOU'RE BETTER OFF WITH ONEGAI MY MELODY, OR ANY OTHER SHOW YOU CAN FIND THAN THIS HUGE PIECE OF TRASH!!!!"
True: Winter Wishes,This show us a life saver,"My 6 month old is very active..... This show is the ONLY show she will sit and watch. The problem with this is I dont see any True rainbow kingdom merchandise , like a doll for my daughter, other than that the show is awesome"
True: Winter Wishes,Great for Kids,"This show teaches good values to your kids, (no immoral characters like most shows) and is actually tolerable enough for parents who view TV with their kids. Both my son and daughter love this show, so it's enjoyable for both girls and boys. Not to mention, the animation is adorable!

Obviously this show is made for kids so I'm not going to critically analyze the plot as if it was going for an academy award. honestly love this show!"
True: Winter Wishes,Good,Very nice. Good series. 10/10. It's very bright and colorful.
True: Winter Wishes,Perfect kids show!,"We absolutely love True! It's perfect for young kids (and my older kids and I actually like it, too)! True and her friends are kind and thoughtful and work together to solve problems that often have a little life lesson to take away. I love how they pause, take a deep breath, and take time to think about the problem before rushing off to solve it. I also love that there are no ""bad guys"". Even the friend, Grizelda, who is a little self-centered and easily could have been ""the mean girl"" is actually a good friend and when she realizes her actions cause problems for others, she does her best to right the situation. No one is mean to another, they are positive and lift each other up, and they are concerned about others' feelings, but not in a sickly, sugary, over-the-top way. It feels very genuine. There are no scary scenes, the creatures are adorable, and the songs are cute. And her cat sidekick, Bartleby, is actually pretty hilarious. He throws some fun/playful sarcasm in there for adults without being negative or rude. The writers do not try to sneak in political agendas or push opinions on viewers, and there are no disguised adult themes/jokes/almost-swearing that has become so popular in kid shows. It's just good, clean, caring, using-your-brain-and-heart fun."
True: Winter Wishes,Enjoyable and cute,"My daughter has watched this since it debuted. As any parent knows, if a kid likes it, they will easily sit there and watch the same thing ad nauseum so it's nice that the production values are good. The stories are easy to follow and her sidekick Bartleby is funny. I also like how they meditate before attempting to solve a problem - it's a nice habit and my kid has used the breathing exercises IRL."
True: Winter Wishes,True Delight,"Brilliant and uplifting in every moment.

Clearly made by people with a deep-seated love of anime: the titular True rides a flying cloud like Dragon Ball's Goku (called ""Cumulo,"" not ""Nimbus""), she has a Sailor Moon-style ""transformation"" sequence, and solves problems by summoning ""wishes"" with hyper-specific abilities and highly limited vocabularies like Pokémon. If there's any doubt, there's even an episode featuring a ""Hinotari"" bird, a clear reference to the Japanese ""hi-no-tori,"" or phoenix. But it all comes off as affection, not cheap pastiche, and it holds the series together so well I'm surprised they haven't marketed it in Japan. Japanese kids would love this.

The show features bubblegum animation in a world where many major features are alive, including mountains, buses and the sea. It focuses on problem-solving with perseverance and positivity, with almost all conflict due to accident, ignorance or a well-meaning mistake -which might be the show's one limitation, since the relentless positivity means nobody is ever really forced to reflect on the consequences of their actions, though True is sometimes challenged to convince characters to give up on their more destructive desires for the sake of harmony in the Rainbow Kingdom.

There's an insistence on stopping to think before diving at a problem, and in every episode, True's first two wishes don't completely resolve the issue at hand - and sometimes actually make it worse - so she has to adapt and think of a creative way to use her third and final wish.

There's no educational value for kids in terms of counting or reading, but the show lays the foundation for an unerringly positive, can-do attitude in the face of adversity, as well as showing that people should be valued even when they do things that unintentionally cause us problems.

The relationship between True and her cat friend Bartleby is absolutely delightful, and the giant purple yetis, who can only talk by screaming, are utterly hilarious. We love watching this over and over with our child."
True: Winter Wishes,Great for young toddlers,All four of my kids love this show and they range from 4 up to 10. They all enjoy it.
True: Winter Wishes,Adorable!,"My 3 year old is obsessed with this show and out of all the Kid shows that I've had to endure, this one is actually enjoyable. Love the cute names and creatures they created. The graphics are adorable and they have some great life lessons in there. Barnaby is my favorite!"
True: Winter Wishes,The most amazing kid's show,"This show is amazing! It is my daughter's favorite show, and I'm so glad because it is so wonderful. If you like to keep screen time limited, but want that time to be quality, this is the show! It teaches valuable lessons for kids and everything about it is beautiful and well done- the animation, the stories, the voices, EVERYTHING. A lot of kid's shows obviously cut corners and have a lower quality than shows for adults but with True that is definitely not the case! There is a lot of hard work and attention to detail here and it shows. Their songs are great too and it is really enjoyable to watch with her. I recommend this show to everyone!"
Unrequited Love,Best chinese series,To me this is the best series that i have watched so far on netflix. The plot was great as well as the actors who portrayed sheng shuainan and lou zhi.
Unrequited Love,🐔Let's Get to Crackin🥚 °good° 💯%🔍,"Sheng turns to say something and LZ isn't there. ""Why are you walking behind me?"" ""I guess I'm used to it,"" our FL replies.

In UL, both of our leads need to come 🐣 out of their shells. Zhu Yan Man Zi (Love Endures, Women Must Be Stronger, The Hypnotist) is our FL, Luo Zhi. She's clever, cerebral, composed, and classy. She's downright chaste, but even moreso, she is candid and considerate. She has enjoyed Sheng Huai Nan (Zhao Shun Ran from Memory Lost & Alliance) and crushing on him, from afar, since HS. Sheng never noticed her - She was always behind him somewhere. He did notice the 🐓 however. When she put on the chicken outfit, she wasn't such a chicken anymore, and she approached him. The presence of a large 🐓 ended up being a great distraction that gave Sheng a leg up in an uncomfortable situation. When he removed the 🐔-head to thank his savior, viola! There's a /girl/ here.

The handsome Sheng, who has had to deflect unwanted advances his whole life, doesn't realize that he DID notice LZ in HS. They were anonymously exchanging notes about schoolwork for a period of time. LZ knew who her pen pal was, but she prefers clandestine operations, so she never revealed her identity. The first year of college was uneventful, but now the 2nd year has started. She un-chickened the 🐥 inside her that one day, and since Sheng lifted that 🐔-head, she's been walking around exposed. Guys are noticing her now, like Sheng's BFF. Hiding is LZ's safety mechanism. LZ prefers the periphery - a 5 meter minimum distance from Sheng; anything else is super-duper uncomfortable. So, when he asks her to accompany him to the amusement park on a group outing, she declines. ""He is a victorious general in the examination field. But on the field of love, he is utterly defeated.""

There's nothing more tantalizing than a club that won't have you as a member. As a professional woman-deflector, being turned down is something new for Sheng. Who is this 🐤? He can't help but be interested...

UL is a 2019 release that is rated 7.8 on MDL. It is 1 season consisting of 24 30-40 minute episodes. It is NOT to be confused with the 2021 release that is of the same name, rated 7.5 on MDL with 38 episodes. {Why do they do that? China put out two versions of Love 020 in the same year. Hollywood has the same problem with overlapping similar projects.} Sheng's BFF, Zhang Ming Rui, is played by Zhang Yi Chi (Rattan). The more he talked, the more I loved his voice. Credit when Gu: Actor, Li Jin Zhe (Zhong Guo Di, The Youth Memories), plays CEO Gu. He exudes sex appeal and it exceeds his mere looks. Part of it is his dreamy voice. This is director Ding Pei's first effort. She has nothing rated under 7.5 on MDL and, given the acuity of UL, I will actively seek out this director's works.

UL2019 is slow and steady. It moves at LZ's pace. Simple, cheerful piano and strings accompany the scenes, making it feel like romance-improv night at the coffee house. There's °slow° that's infuriating or °slow° that's relaxing - and it's widely up to individual taste. UL works because the characters are well formed while the tempo, softly spoken words, and the soundtrack are like a caress. °Slow° works; Slow-and-stupid doesn't, and UL is never stupid. That is the value in this show - The actors are fine. The story is uneventful. The pace is plodding... the value here is in the writing: It is the witty dialogue, the intellectual quotes, & the insightful commentary on humanity that make UL worth a watch.

They end up involved in the drama club and put on a production of Shakespeare's 12th Night. {Apparently, 🇨🇳 is in love with Shakespeare ↪ and Shakespeare's works seem akin to China's historical pieces in many ways.} The translation-of-the-translation is beautiful:

✏ Women are not big-hearted. A woman's love is like a person's taste. It can be tasted on the tip of the tongue but not in the organs. My love is like a hungry sea, which can digest everything. Don't compare them to each other ✏

❣ I know how women love men. One of my sisters fell in love with a man ❣

✏ And what was her past? ✏

❣ It's blank. She never told anyone about her love, and she let depression bottle up inside of her until it destroyed her, ruining her beauty. She pined away. Illness and sorrow tormented her while she waited patiently, smiling despite her sadness. Doesn't that sound like true love? ❣

Thus is their version of 12th Night and, quite obviously, some of the inspiration for the show. Actress, Zhu, is marvelous in the scene. She's acting as a person who pretends to be acting but what she's saying is true, so she's not really acting. Anyway, the acting is great.

Rain Shen (Alliance) plays LZ's roomie, Jiang Bai Li. Each of these girls is getting major interference from the exes of their love interests. The always composed LZ doesn't handle attention, nor interference, well. (""You are too cautious!,"" LZ's mom laments). Hanging around Sheng, the campus lightning rod, is crossing a wide and dangerous road for a timid 🐔 like LZ. She had reinforced her protective bubble-of-isolation over & over again. It's talon-proof. This is just another form of pride, and it will alienate a person. People can be horrible, but isolation becomes a sickness in the bones. Too much alone time will make a person very, very off-kilter ~>> weird. It's difficult to find decent people. When we do, we shouldn't shut them out over fear. That is what LZ begins to do with Sheng, once he notices her. As Sheng makes overtures, LZ becomes terrified and shrinks away.

Nevertheless, things get cluckin, and they're going well. Her shell starts to CRACK. At the first sign of static, LZ runs away like a roadrunner. The agenda-driven mean girls are hen-pecking, and try to make it look like LZ manipulated a situation. Sheng's forced to ""major"" in interpersonal analytics that semester in order to sort out fact from fiction. Part of the sorting process is managing fear. The mean girls played on his fears. Author Terry Goodkind writes that people will believe a thing because they want it to be true or because they're afraid it's true. Fear is useful if it guides us, but not if it rules us or turns us into fodder for manipulation.

The Legend of the White Snake is brought up as an analogy. Per Wiki, it is ""a Chinese legend centered around a romance between a man named Xu Xian and a female snake spirit named Bai Suzhen. It is counted as one of China's Four Great Folktales."" In the show TLOWS-4.5, unrequited love turns a young girl into a villainous monster; she is a constant pest and causes lots of trouble. Sheng's friends keep bringing it up.

Before the end, Sheng's 🌏 will crack. Towards the close of the series, they get into a drama that seems plucked out of nowhere. There are a couple of tiny hints at a family issue from the past, but the build-up is insufficient. That last story arc didn't play as well as the rest of the show. It is worth noting that the secondary romances aren't bad, but they aren't nearly as good as the primary one.

Now for some Scooby Snacks:

🍗 They each buy a seed with a word burned into it. When the seed grows, the word appears on the plant, itself. How awesome is that?

🍗 They are in law school and they do a mock trial of the OJ Simpson case.

🍗 Always dignified, even though she is a bit 🐓, LZ won't be pushed around. ""You have to try this drink or your life won't be complete,"" Sheng urges. ""I prefer a flawed life,"" she shoots back.

🍗 I love how the walls in the girls' dorm are a tribute to Hayao Miyazaki and Studio Ghibli. LZ frequently mentions the anime Only Yesterday which is a 1991 Ghibli movie. Sheng also likes the film.

🍗 ""Misunderstandings happen when two people are not direct with each other. It results in frustration... Face him bravely,"" A wise friend cautions.

🍗 They are studying for the upcoming Marxism exam. ""What's Marxism?"" One of the guys wants to know.

🍗 On break they don their HS uniforms and sneak into class together. Cute.

🍗 ""When an attractive man tells a lie, he could be quite good at it."" LZ is warned by a woman who got burned.

🍗 Have you heard a quote from Mencken? ""A man makes love by braggadocio and a woman makes love by listening. Once a woman passes a certain point in intelligence, she finds it impossible to get a husband. She simply cannot go on listening to men without snickering.""

Thank goodness our capable LZ didn't pass that point. She's been a 🐓 that moved like a 🐢 all of her life. But, in the second year of college, she joined the human race.

(more) QUOTES📢

People expect too much of women.

Heaven favors the courageous.

〰🖍 IMHO

📣7 📝7.5 🎭7.7 💓7 🦋5 🎨5 🎵/🔊7.5 🔚7.5 ▪ 🌞4.5 ⚡1 😅2.5 😭2.5 😱0 😯2 😖0 🤔5 💤2

Poli-wagging 1/10. They discuss Marxism. One of her professors says hewas labeled as an intellectual and was about to be locked up! Yes, this is what is is to live in 🇨🇳, but it shocking they allowed that in a show.

Age 12+

Rated TV-PG-13: Parents Cautioned

Re-📺? This was great to watch once

In order of ~lite & trite~ to ~heavy & serious~ you may also like:

💓 - C🇨🇳: A Little Thing Called First Love 8.5; Find Yourself 8.9; The Romance of Tiger and Rose 9.8; The Sleepless Princess 9.1; Wait, My Youth-8.4

K🇰🇷 : A Witch's Love 7.8; Love To Hate You 8.9; Touch Your Heart 8.2; Crash Landing On You 9.1; Oh My Ghost 10; Be Melodramatic-8.7

It's Okay Not to Be Okay 9; Hospital Playlist 9; My Mister 9.5;

Romance junkies only - My Secret Romance-7 (if you ff thru overdone flashbacks), Boys Over Flowers-8 ~ melodrama to the max, The Bride of Habaek-7, Heirs-7.3, That Winter, The Wind Blows-7, Something in them Rain-9, C🇨🇳: Well-Intended Love-7.5 Rom-porn - extra points for the dopamine, When I Fly Towards You-7.8, Wait, My Youth-8.4, Hidd5 Love-7.8."
Unrequited Love,Heartfelt,"It's a must watch romance drama for anyone who is currently interested in the genre.

The best thing about this drama is that it portrayed the real world relationship of college students. Couple goes through the difficulties of life. Have fun, trust, misunderstood, argue, fight and then get together like in the real world. And it was all portrayed beautifully with the likeable and easy to attach to characters. You will go through the rollercoaster of emotions when you watch it. It will make you laugh, cry, irritated and love.

Although the series was beautiful, there is a lot that could be improved. It has an happy ending, but it still feels rushed. The dialogues could be improved as well. Overall, you will enjoy watching it."
Unrequited Love,Great drama!,Comentario no disponible
Unrequited Love,Lovely Young Couples,"A pretty delightful love story between college students. The first half of the drama was quite sweet and joyful, but turned into boring ending finally. The young actors and actresses were bringing more fun to this drama, as they offered vivid performance. It seemed like the bright color tone was set up to match the theme of the drama, and I enjoyed the beautiful scenes. However, the drama failed to show audiences that both the girl and the boy were from northern China: they tried to use the accent sometimes, but it only made it feel like fitting a kid's feet into an adult's shoes. I would like it more if they could just keep it simple."
Unrequited Love,Simple and lighthearted story but well written,It's a very simple love story but I loved that every character was well written and had layers to them. It's interesting and every turn to the story makes sense and you keep rooting for the characters to have happy stories. I enjoyed this a lot.
Good Girls,Binged it in two days,"Loved it! Funny, fresh and female centric. Can't wait to see season 2"
Good Girls,Really good but repetitive,Comentario no disponible
Good Girls,I'm hooked!!,"Love this show! It's a mashup of Desperate Housewives and Thelma & Louise. It's funny, yet thought provoking about how far you'd be willing to go to protect your family. A must see show!"
Good Girls,Soccer moms breaking bad,"Action packed, quality tv show leaves you wanting more. Clean enough tv show to not make you feel dirty after watching it, but still an adult show with rich characters. Great writing that I could watch again and again on tv or in the cinema. Classic characters you want to see develop which remind me of Breaking Bad or Better Call Saul. I hope to see these Good Girls tv show characters develop and grow."
Good Girls,This is a GREAT Show,"I don't know what the critics are talking about. I love this show!! I wait for Monday to come around so I can watch. It taps into the ""bad girl"" excitement that is missing in the everyday life of being a mom. And Manny Montana...No explanation needed. I do wish he played a bigger role in the series. I'm hoping we see more and more of him. Ignore the critics and give this show a chance!"
Good Girls,I LOVE THIS SHOW,This Show is amazing!!!! I hope Rio and Beth start something.
Good Girls,If Desperate Housewives and Weeds had a baby...,"...it would be this show. Great storylines with promising development and shockingly convincing and easily likeable characters. As a 30-something housewife and mother of two, I utterly appreciate this show."
Good Girls,It was a surprisingly good first season,Comentario no disponible
Good Girls,rio addict!,"Addicted to Rio's sexy voice, his demeanor, and mysteriousness! I hope they will show his back story!"
Good Girls,They should have ended it,Season one had me hooked up and the following season kept the bar high. But it should have ended there. Season 3 was a major letdown for me. I struggled watching the last episodes of the season and I m not even sure if I'll watch season 4. The characters have become so less likeable and the story is just not believable any more.
Good Girls,A brilliant show - you gotta watch it!,"Good Girls has: Good friends Great suspense Simmering sexual tension Mad true love Deep Mother's love Good cops and wicked bad robbers

This show has it all, told in an an exciting way that keeps you hooked while you laugh and cry.

Hint: I was so caught up in the drama I binged this series in a day, the show should be leisurely enjoyed, a couple of episodes at time, with a good whiskey or bottle of red and some popcorn; Treat yo' self."
Good Girls,Too many missteps and bad choices,"This is a review for both season 1 and season 2 of this show.

This show has both its greatest strength and its greatest weakness in its main characters. Early on, it seems like a worthwhile endevaour to follow the misadventures of these characters, to see what sort of crazy hijinks they get up to, but what plagues them by the of season 2 is the same feeling of staleness that most shows like these struggle with. If characters always get into trouble, then it's neither shocking nor interesting to see how they get out of it, cause you know from the start that they will and that they will inevitably get into more trouble later on.

So this is what I mean by the earlier sentiment. The characters start to feel like paper-cut outs of their earlier selves, where they are put into situations as opposed to naturally growing with the show. Add to this, a frustrating amount of storylines that disappear into nothingness, and you have a show that, while great at times, fails to really deliver on its promise."
Good Girls,So frustrating,"It started kinda fun but then it just became frustrating to the point I am pulling my hair. The girls keep making the same and worse mistakes again and again and again, again, again, again....

Nothing they do has any logic, they play gangsters and think this is a hobby they can switch on and off whenever they want to. They want to be criminals but then they also want to be nice people. They give in to blackmail, demands, extortion, being robbed and losing their money every week, people walking all over them etc.

All you see here is a bunch of stupid housewives that NEVER learn anything, especially from their own mistakes. Annie is probably the worse when it comes to stupid mistakes that has major repercussions, then Beth and then Ruby.

You can't possibly do what they do and still be alive. Way too lucky to get away with the stupid stuff they keep doing.

Rio is just amused by Beth, only reason she is still around. How bothersome can someone be before they get the axe? Obviously the series needs to keep going.

I am still watching it because I am hoping that they will get better. I am hoping for something smart in the end, a nice surprise. They just go in deeper and deeper without any commonsense, you go gangster it is for life.

Oh, and what happened to Boomer's phone and the bag... How did that happen? Or was it just a badly written twist?"
Good Girls,Awesome!,"I freaking love, Love, LOVE this show!! This is such a new kind of show and all the actors are amazing!"
